header identifier,digital_origin,language,physical_note,abstract,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,subject_topical 5,subject_topical 6,subject_topical 7,subject_topical 8,subject_geographic 1,subject_geographic 2,subject_name 1,identifier,object_in_context,item_type,date_text,date_single/start,date_end,date_qualifier,public_note,internet_media_type,form,rights,project_initialArticle,project_title,collection,collection_identifier,name,repository,record_source,title,place_of_origin
heilman_12819,reformatted digital,zxx,.3x magnification,Southern magnolia,Southern magnolia,Magnolia grandiflora,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,Seeds | http://id.loc.gov/authorities/subjects/sh85119543,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,Magnolia_0647,http://kiva.lib.utk.edu/heilman/items/show/12819,still image,9/7/2000,2000-09-07,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Magnolia grandiflora, 0647","University of Tennessee, Knoxville"
heilman_12754,reformatted digital,zxx,.45x magnification,Lotus,Lotus | http://id.loc.gov/authorities/subjects/sh85078460,Nelumbo sp.,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Nelumbo_0717,http://kiva.lib.utk.edu/heilman/items/show/12754,still image,8/1/1999,1999-08-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Nelumbo, species indeterminate, 0717","Perry's Water Gardens - Franklin, NC"
heilman_12757,reformatted digital,zxx,,Lotus,Lotus | http://id.loc.gov/authorities/subjects/sh85078460,Nelumbo sp.,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Nelumbo_0714,http://kiva.lib.utk.edu/heilman/items/show/12757,still image,9/1/1997,1997-09-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Nelumbo, species indeterminate, 0714","UT Gardens - Knoxville, TN"
heilman_12899,reformatted digital,zxx,zoom 135,Yellow birch; Lichens on yellow birch,Yellow birch | http://id.loc.gov/authorities/subjects/sh85149086,Lichens | http://id.loc.gov/authorities/subjects/sh85076770,Yellow birch | http://id.loc.gov/authorities/subjects/sh85149086,Betula alleghaniensis | http://aims.fao.org/aos/agrovoc/c_26393,Lichens | http://id.loc.gov/authorities/subjects/sh85076770,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,Lichens_0565,http://kiva.lib.utk.edu/heilman/items/show/12899,still image,11/25/2001,2001-11-25,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Betula alleghaniensis, 0565",Great Smoky Mountains National Park
heilman_12484,reformatted digital,zxx,0.6x magnification,Spiderworts,Spiderworts,Tradescantia sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Tradescantia_0983,http://kiva.lib.utk.edu/heilman/items/show/12484,still image,5/6/2007,2007-05-06,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Tradescantia, species indeterminate, 0983","UT Gardens - Knoxville, TN"
heilman_12834,reformatted digital,zxx,.77x magnification,Foxtail clubmoss; Ravenfork Overlook,Foxtail clubmoss,Lycopodium alopecuroides,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,Ravenfork Overlook,,,Lycopodium_0630,http://kiva.lib.utk.edu/heilman/items/show/12834,still image,11/6/2004,2004-11-06,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Lycopodium alopecuroides, 0630",Blue Ridge Parkway
heilman_12351,reformatted digital,zxx,1x magnification,Zinnia,Zinnia | http://id.loc.gov/authorities/subjects/sh85149881,Zinnia | http://id.loc.gov/authorities/subjects/sh85149881,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Zinnia_1110,http://kiva.lib.utk.edu/heilman/items/show/12351,still image,8/27/2008,2008-08-27,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Zinnia, species indeterminate, 1110","UT Gardens - Knoxville, TN"
heilman_13155,reformatted digital,zxx,.88x magnification,Purple coneflower,Purple coneflower,Echinacea sp.,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Echinacea_0315,http://kiva.lib.utk.edu/heilman/items/show/13155,still image,9/10/2006,2006-09-10,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Echinacea, species indeterminate, 0315","UT Gardens - Knoxville, TN"
heilman_13302,reformatted digital,zxx,,Tropicana,Tropicana,Canna generalis,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Canna_0150,http://kiva.lib.utk.edu/heilman/items/show/13302,still image,6/2/2004,2004-06-02,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Canna generalis, 0150","UT Gardens - Knoxville, TN"
heilman_13301,reformatted digital,zxx,,,Canna | http://aims.fao.org/aos/agrovoc/c_1252,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,,Canna_0151,http://kiva.lib.utk.edu/heilman/items/show/13301,still image,10/3/1998,1998-10-03,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Canna, species indeterminate, 0151","UT Gardens - Knoxville, TN"
heilman_13013,reformatted digital,zxx,0.3x magnification,,Hosta sp.,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,,Hosta_0451,http://kiva.lib.utk.edu/heilman/items/show/13013,still image,4/11/2010,2010-04-11,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Hosta, species indeterminate, 0451","UT Gardens - Knoxville, TN"
