header identifier,digital_origin,language,physical_note,abstract,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,subject_topical 5,subject_topical 6,subject_topical 7,subject_topical 8,subject_geographic 1,subject_geographic 2,subject_name 1,identifier,object_in_context,item_type,date_text,date_single/start,date_end,date_qualifier,public_note,internet_media_type,form,rights,project_initialArticle,project_title,collection,collection_identifier,name,repository,record_source,title,place_of_origin
heilman_12446,reformatted digital,zxx,.6x magnification,Tulip; Multiple male and female tepals,Tulips | http://id.loc.gov/authorities/subjects/sh85138521,Tepals,Tulipa sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,Tulip_1017,http://kiva.lib.utk.edu/heilman/items/show/12446,still image,2/1/2006,2006-02-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Tulipa, species indeterminate, 1017",
heilman_13396,reformatted digital,zxx,,Japanese maple; Dancing Peacock; Aconitifolium,Japanese maple | http://id.loc.gov/authorities/subjects/sh85069686,Dancing peacock,Aconitifolium,Acer japonicum | http://aims.fao.org/aos/agrovoc/c_65,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,AcerJaponicum_0062,http://kiva.lib.utk.edu/heilman/items/show/13396,still image,2/1/2009,2009-02-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Acer japonicum, 0062","UT Gardens - Knoxville, TN"
heilman_12441,reformatted digital,zxx,.2x magnification,Tulip; Parrot,Tulips | http://id.loc.gov/authorities/subjects/sh85138521,Tulipa sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Tulip_1022,http://kiva.lib.utk.edu/heilman/items/show/12441,still image,3/12/2007,2007-03-12,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Tulipa, species indeterminate, 1022",
heilman_12547,reformatted digital,zxx,".29x magnification, Flo Test 07F10, All American Selection, 81",Coneflower,Coneflowers,Rudbeckia sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Rudbeckia_0922,http://kiva.lib.utk.edu/heilman/items/show/12547,still image,7/11/2009,2009-07-11,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Rudbeckia, species indeterminate, 0922","UT Gardens - Knoxville, TN"
heilman_13268,reformatted digital,zxx,".9x magnification, Velvia",,Leucanthemum vulgare | http://id.loc.gov/authorities/subjects/sh88002149,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,,Chrysanthemum_0183,http://kiva.lib.utk.edu/heilman/items/show/13268,still image,6/1/1992,1992-06-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Chrysanthemum leucanthemum, 0183",
heilman_12940,reformatted digital,zxx,0.26x magnification,Red-Hot Poker,Red-Hot Poker,Kniphofia sp.,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Kniphofia_0524,http://kiva.lib.utk.edu/heilman/items/show/12940,still image,2/28/2010,2010-02-28,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Kniphofia, species indeterminate, 0524","UT Gardens - Knoxville, TN"
heilman_13033,reformatted digital,zxx,"0.9x magnification, E. flash",Rose of Sharon,Rose of Sharon | http://id.loc.gov/authorities/subjects/sh85060603,Hibiscus syriacus,Seeds | http://id.loc.gov/authorities/subjects/sh85119543,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Hibiscus_0431,http://kiva.lib.utk.edu/heilman/items/show/13033,still image,2/1/2004,2004-02-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Hibiscus syriacus, 0431","Forest Glen Dr - Knoxville, TN"
heilman_13016,reformatted digital,zxx,0.3x magnification,Shade garden,Gardening in the shade | http://id.loc.gov/authorities/subjects/sh85053100,Hosta sp.,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Hosta_0448,http://kiva.lib.utk.edu/heilman/items/show/13016,still image,6/20/2009,2009-06-20,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Hosta, species indeterminate, 0448","UT Gardens - Knoxville, TN"
heilman_12750,reformatted digital,zxx,.2x magnification,Lotus; Water drop on lotus leaf,Lotus | http://id.loc.gov/authorities/subjects/sh85078460,Nelumbo sp.,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Nelumbo_0721,http://kiva.lib.utk.edu/heilman/items/show/12750,still image,6/12/2006,2006-06-12,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Nelumbo, species indeterminate, 0721","UT Gardens - Knoxville, TN"
heilman_12529,reformatted digital,zxx,.56x magnification,Coneflower; Cinnamon Bicolor,Coneflowers,Cinnamon bicolor,Rudbeckia sp.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,Rudbeckia_0940,http://kiva.lib.utk.edu/heilman/items/show/12529,still image,6/12/2008,2008-06-12,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Rudbeckia, species indeterminate, 0940","UT Gardens - Knoxville, TN"
heilman_12567,reformatted digital,zxx,.53x magnification,Rose; Radrazz Knock Out,Roses | http://id.loc.gov/authorities/subjects/sh85115443,Radrazz Knock Out,Rosa sp.,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,Rosa_0902,http://kiva.lib.utk.edu/heilman/items/show/12567,still image,9/18/2007,2007-09-18,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Rosa, species indeterminate, 0902","UT Gardens - Knoxville, TN"
heilman_13063,reformatted digital,zxx,"f16/22 Zork, Velvia, 6 cm acr.",Sunflower; Mammoth,Sunflowers | http://id.loc.gov/authorities/subjects/sh85130542,Helianthus annuus,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Helianthus_0401,http://kiva.lib.utk.edu/heilman/items/show/13063,still image,8/15/1999,1999-08-15,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Helianthus annuus, 0401",
heilman_13116,reformatted digital,zxx,,Osage orange; Fruits; OSU,Osage orange | http://id.loc.gov/authorities/subjects/sh85095865,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,Maclura pomifera,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,FruitsSeeds_0351,http://kiva.lib.utk.edu/heilman/items/show/13116,still image,8/1/1954,1954-08-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Maclura pomifera, 0351",
heilman_12790,reformatted digital,zxx,,Flowering dogwood; Mary Ellen; Double flower; One flower cluster in which flowers have been replaced by bracts,Flowering dogwood | http://id.loc.gov/authorities/subjects/sh85049324,Mary Ellen,Double flowers | http://id.loc.gov/authorities/subjects/sh85039180,Flowering dogwood | http://id.loc.gov/authorities/subjects/sh85049324,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,Mutation_0269,http://kiva.lib.utk.edu/heilman/items/show/12790,still image,4/1/1966,1966-04-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Cornus florida, 0269","Oak Ridge, TN"
heilman_13389,reformatted digital,zxx,0.26x magnification,Dancing Peacock; Aconitifolium,Dancing peacock,Aconitifolium,Acer japonicum | http://aims.fao.org/aos/agrovoc/c_65,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,AcerJaponicum_0069,http://kiva.lib.utk.edu/heilman/items/show/13389,still image,11/18/2010,2010-11-18,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Acer japonicum, 0069","UT Gardens - Knoxville, TN"
heilman_13209,reformatted digital,zxx,.33x magnification,Pink lady slipper; Dry,Pink lady slipper,Cypripedium acaule,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Cypripedium_0246,http://kiva.lib.utk.edu/heilman/items/show/13209,still image,9/4/2000,2000-09-04,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Cypripedium acaule, 0246",
heilman_13082,reformatted digital,zxx,,Sunflower,Sunflowers | http://id.loc.gov/authorities/subjects/sh85130542,Helianthus annuus,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Helianthus_0382,http://kiva.lib.utk.edu/heilman/items/show/13082,still image,7/1/1965,1965-07-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Helianthus annuus, 0382","Knoxville, TN"
heilman_13139,reformatted digital,zxx,0.78x magnification,,Erigeron philadelphicus,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,,Erigeron_0332,http://kiva.lib.utk.edu/heilman/items/show/13139,still image,5/8/2005,2005-05-08,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Erigeron philadelphicus, 0332","UT Gardens - Knoxville, TN"
heilman_13356,reformatted digital,zxx,.7x magnification,Red maple; Fruits,Red maple | http://id.loc.gov/authorities/subjects/sh85112070,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,Acer rubrum | http://aims.fao.org/aos/agrovoc/c_73,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,AcerRubrum_0102,http://kiva.lib.utk.edu/heilman/items/show/13356,still image,4/9/2006,2006-04-09,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Acer rubrum, 0102","Forest Glen Dr - Knoxville, TN"
heilman_12682,reformatted digital,zxx,.37x magnification,Colorado spruce; Glauca; Berberis Thobergi; Barberry,Colorado spruce | http://id.loc.gov/authorities/subjects/sh2006003883,Glauca,Berberis Thobergi,Barberries | http://id.loc.gov/authorities/subjects/sh85011795,Picea pungens,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,Picea_0790,http://kiva.lib.utk.edu/heilman/items/show/12682,still image,11/18/2006,2006-11-18,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Picea pungens, 0790","UT Gardens - Knoxville, TN"
heilman_13048,reformatted digital,zxx,.23x magnification,Hellebore,Hellebore,Helleborus sp.,Fruit | http://id.loc.gov/authorities/subjects/sh85052105,"Plants, Cultivated | http://id.loc.gov/authorities/subjects/sh85102884",,,,,,,,Helleborus_0416,http://kiva.lib.utk.edu/heilman/items/show/13048,still image,4/29/2010,2010-04-29,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Helleborus, species indeterminate, 0416","UT Gardens - Knoxville, TN"
heilman_13275,reformatted digital,zxx,.44x magnification,False cypress,Callitropsis nootkatensis | http://id.loc.gov/authorities/subjects/sh85022408,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,,Chamaecyparis_0176,http://kiva.lib.utk.edu/heilman/items/show/13275,still image,5/1/2009,2009-05-01,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Chamaecyparis nootkatensis, 0176","UT Gardens - Knoxville, TN"
heilman_13406,reformatted digital,zxx,.5x magnification,Japanese maple; Dancing Peacock; Aconitifolium,Japanese maple | http://id.loc.gov/authorities/subjects/sh85069686,Dancing peacock,Aconitifolium,Acer japonicum | http://aims.fao.org/aos/agrovoc/c_65,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,AcerJaponicum_0052,http://kiva.lib.utk.edu/heilman/items/show/13406,still image,2/2/2009,2009-02-02,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Acer japonicum, 0052","UT Gardens - Knoxville, TN"
heilman_13450,reformatted digital,zxx,0.43x magnification,Copperleaf,Copperleaf,Acalypha wilkesiana,Leaves | http://id.loc.gov/authorities/subjects/sh85075608,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,,Acalypha_0009,http://kiva.lib.utk.edu/heilman/items/show/13450,still image,10/5/2006,2006-10-05,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Acalypha wilkesiana, 0009","UT Gardens - Knoxville, TN"
heilman_12544,reformatted digital,zxx,.63x magnification,Coneflower; Black-eyed Susan,Coneflowers,Hibiscus trionum | http://id.loc.gov/authorities/subjects/sh2007006747,Rudbeckia hirta,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Endemic plants | http://id.loc.gov/authorities/subjects/sh88004248,,,,,,,Rudbeckia_0925,http://kiva.lib.utk.edu/heilman/items/show/12544,still image,7/17/2007,2007-07-17,,,,image/jpeg,photographs | http://vocab.getty.edu/aat/300046300,"Photograph © Alan S. Heilman; Digital Image © 2011 The University of Tennessee Libraries. Creative Commons License Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) with attribution as follows: [Photograph title and item number], The Botanical Photography of Alan S. Heilman, © Alan S. Heilman, © The University of Tennessee Libraries, 2011.",The,Botanical Photography of Alan S. Heilman,Botany Department Photographs,AR.0488,"Heilman, Alan S. | Role: Photographer | Role URI: http://id.loc.gov/vocabulary/relators/pht","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Rudbeckia hirta, 0925","UT Gardens - Knoxville, TN"
